Frame Index;Frame Time(ms)
0;1,023
1;0,883
2;0,779
3;0,615
4;0,532
5;0,542
6;0,845
7;0,468
8;0,411
9;0,493
10;0,633
11;0,619
12;0,627
13;0,638
14;0,638
15;0,638
16;0,709
17;0,674
18;0,671
19;0,512
20;0,636
21;0,633
22;0,630
23;0,606
24;0,628
25;0,630
26;0,638
27;0,632
28;0,633
29;0,635
30;0,636
31;0,631
32;0,664
33;0,707
34;0,534
35;0,639
36;0,634
37;0,623
38;0,636
39;0,648
40;0,622
41;0,627
42;0,637
43;0,630
44;0,636
45;0,634
46;0,629
47;0,636
48;0,712
49;0,707
50;0,490
51;0,630
52;0,638
53;0,642
54;0,614
55;0,685
56;0,616
57;0,633
58;0,616
59;0,642
60;0,630
61;0,617
62;0,646
63;0,633
64;0,643
65;0,635
66;0,619
67;0,627
68;0,645
69;0,639
70;0,657
71;0,614
72;0,615
73;0,637
74;0,637
75;0,648
76;0,648
77;0,628
78;0,611
79;0,646
80;0,652
81;0,735
82;0,629
83;0,568
84;0,608
85;0,611
86;0,637
87;0,630
88;0,619
89;0,684
90;0,628
91;0,623
92;0,648
93;0,601
94;0,629
95;0,630
96;0,642
97;0,627
98;0,628
99;0,631
100;0,627
101;0,643
102;0,639
103;0,626
104;0,640
105;0,631
106;0,637
107;0,643
108;0,628
109;0,620
110;0,647
111;0,680
112;0,638
113;0,995
114;0,545
115;0,564
116;0,498
117;0,515
118;0,631
119;0,688
120;0,806
121;0,583
122;0,488
123;0,730
124;0,884
125;0,982
126;1,011
127;1,024
128;1,006
129;0,950
130;1,047
131;0,666
132;0,534
133;0,498
134;0,447
135;0,519
136;0,671
137;0,636
138;0,601
139;0,633
140;0,631
141;0,812
142;4,940
143;6,186
144;3,946
145;1,578
146;1,253
147;1,276
148;1,916
149;1,971
150;1,920
151;1,895
152;2,031
153;1,878
154;1,751
155;2,218
156;2,663
157;2,270
158;2,365
159;2,911
160;2,467
161;2,364
162;1,880
163;1,331
164;0,707
165;0,561
166;0,502
167;0,540
168;0,411
169;0,591
170;0,624
171;0,681
172;0,598
173;0,631
174;0,657
175;0,609
176;0,626
177;0,632
178;0,638
179;0,664
180;0,638
181;0,597
182;0,626
183;0,643
184;0,626
185;0,635
186;0,634
187;0,631
188;0,633
189;0,636
190;0,749
191;3,837
192;6,219
193;6,545
194;5,874
195;3,581
196;0,944
197;2,086
198;2,949
199;0,737

