Frame Index;Frame Time(ms)
0;8,339
1;10,221
2;6,727
3;7,764
4;9,247
5;8,354
6;7,997
7;9,148
8;6,616
9;9,287
10;8,154
11;9,542
12;8,031
13;7,748
14;7,717
15;9,520
16;8,367
17;8,113
18;8,186
19;8,233
20;8,001
21;7,766
22;9,474
23;8,332
24;8,103
25;9,338
26;8,482
27;8,261
28;6,941
29;8,272
30;8,059
31;8,550
32;7,953
33;7,833
34;9,375
35;8,210
36;7,979
37;8,076
38;8,208
39;8,251
40;8,000
41;7,824
42;7,640
43;9,184
44;8,017
45;8,096
46;7,640
47;9,268
48;8,369
49;7,972
50;7,744
51;7,992
52;7,868
53;9,504
54;8,184
55;8,156
56;8,188
57;8,312
58;7,927
59;7,987
60;8,359
61;7,771
62;7,912
63;7,726
64;9,314
65;8,305
66;7,660
67;7,747
68;8,140
69;7,705
70;9,257
71;8,402
72;8,237
73;8,477
74;6,871
75;8,770
76;6,730
77;9,012
78;8,283
79;8,130
80;7,609
81;9,571
82;8,196
83;7,905
84;7,991
85;8,297
86;8,084
87;7,795
88;9,294
89;8,482
90;6,787
91;9,105
92;8,014
93;7,845
94;9,111
95;8,086
96;7,835
97;8,205
98;8,032
99;9,233
100;6,860
101;9,029
102;8,237
103;9,257
104;8,230
105;7,955
106;8,022
107;8,107
108;8,177
109;7,621
110;9,325
111;8,269
112;8,094
113;9,049
114;8,305
115;7,891
116;9,031
117;7,711
118;9,317
119;6,835
120;8,934
121;8,351
122;7,928
123;5,794
124;9,075
125;7,745
126;9,338
127;8,350
128;8,252
129;8,270
130;8,419
131;7,694
132;8,980
133;8,704
134;8,114
135;8,110
136;8,312
137;8,497
138;8,249
139;8,294
140;8,375
141;6,847
142;7,730
143;9,302
144;8,192
145;8,017
146;6,901
147;9,366
148;8,174
149;6,708
150;9,279
151;6,977
152;9,361
153;7,638
154;9,382
155;8,208
156;7,775
157;8,233
158;7,778
159;9,101
160;9,540
161;6,978
162;8,304
163;8,775
164;6,618
165;9,260
166;8,057
167;7,948
168;7,975
169;7,861
170;9,223
171;7,589
172;6,787
173;7,898
174;8,894
175;8,000
176;7,666
177;9,428
178;8,284
179;7,997
180;8,271
181;8,144
182;6,671
183;9,339
184;8,244
185;8,105
186;9,313
187;8,112
188;7,954
189;7,891
190;9,185
191;7,807
192;9,074
193;7,905
194;7,573
195;9,071
196;6,891
197;9,548
198;6,566
199;8,748

