Frame Index;Frame Time(ms)
0;32,836
1;35,531
2;31,671
3;30,212
4;28,133
5;31,373
6;29,758
7;29,231
8;30,123
9;31,472
10;30,880
11;28,325
12;30,471
13;29,808
14;30,967
15;31,272
16;22,241
17;30,525
18;27,652
19;31,639
20;28,296
21;29,796
22;29,137
23;32,277
24;29,444
25;29,730
26;29,018
27;29,432
28;30,211
29;32,123
30;27,907
31;28,854
32;32,695
33;29,009
34;28,515
35;30,722
36;27,609
37;30,346
38;28,481
39;32,433
40;29,277
41;31,266
42;30,993
43;27,626
44;30,155
45;32,057
46;30,003
47;27,951
48;29,282
49;30,091
50;27,917
51;31,439
52;33,529
53;29,226
54;27,337
55;33,509
56;28,511
57;28,471
58;29,958
59;30,557
60;29,110
61;28,924
62;30,360
63;29,668
64;29,445
65;31,250
66;29,707
67;31,223
68;28,794
69;31,040
70;29,465
71;28,344
72;30,095
73;31,483
74;28,482
75;30,318
76;30,178
77;30,269
78;28,994
79;29,560
80;29,059
81;30,950
82;29,854
83;31,762
84;29,792
85;29,715
86;29,357
87;30,645
88;28,184
89;29,978
90;32,312
91;27,834
92;29,610
93;30,072
94;28,798
95;29,474
96;28,670
97;31,454
98;30,785
99;28,185
100;30,403
101;29,396
102;29,122
103;28,864
104;31,026
105;29,942
106;29,736
107;31,023
108;28,484
109;32,047
110;29,535
111;28,441
112;31,180
113;30,084
114;30,738
115;29,040
116;29,086
117;31,938
118;27,969
119;30,828
120;28,038
121;28,977
122;31,683
123;22,209
124;28,531
125;30,594
126;27,281
127;32,105
128;29,427
129;30,272
130;29,834
131;30,673
132;28,814
133;28,687
134;28,409
135;30,556
136;30,251
137;27,818
138;33,323
139;29,338
140;29,774
141;27,722
142;30,580
143;29,066
144;33,126
145;28,798
146;31,841
147;29,996
148;28,224
149;29,217
150;31,124
151;29,772
152;29,768
153;29,168
154;28,781
155;28,096
156;31,542
157;30,105
158;31,388
159;30,656
160;30,304
161;28,501
162;28,172
163;30,314
164;34,749
165;27,061
166;31,293
167;29,204
168;28,945
169;30,682
170;28,048
171;29,560
172;28,318
173;28,525
174;28,076
175;31,801
176;31,637
177;28,738
178;32,014
179;26,822
180;31,031
181;28,292
182;32,267
183;30,735
184;30,196
185;30,544
186;29,593
187;30,157
188;29,483
189;30,167
190;28,756
191;30,155
192;28,936
193;29,582
194;30,426
195;29,823
196;27,453
197;29,458
198;28,547
199;32,197

